Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,3348.4
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,3238.5
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,3043.1
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2759.9
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2602.9
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2569.2
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2570.9
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2604.3
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2431.6
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,3141.0
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2951.5
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2717.3
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2437.5
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2686.8
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,3220.4
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,3434.5
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,3354.8
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,12,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,3215.4
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,13.0
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,12.7
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,11.4
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,9.3
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,6.9
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,6.2
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,5.6
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,5.6
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,None,None,PT,2025-08-08T00:00:00,2023-2025,4.9
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,14.1
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,13.9
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,12.5
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,10.2
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,7.2
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,5.3
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,4.3
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,4.3
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,4.3
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,11.9
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,11.5
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,10.3
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,8.4
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,6.7
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,7.2
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,6.9
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,7.0
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,12,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,5.6
