Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
1988,A,0,2021,"Accessed June 5, 2025. Based on data from ENCNVM. Estimated from grouped consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,12,PT,2025-08-11T00:00:00,2011,12.3
1995,A,0,2021,"Accessed June 5, 2025. Based on data from ENCNVM. Estimated from grouped consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,12,PT,2025-08-11T00:00:00,2011,11.8
2011,A,0,2021,"Accessed June 5, 2025. Based on data from ENCNVM. Estimated from grouped consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,12,PT,2025-08-11T00:00:00,2011,0.0
